Scope,Symbol_or_literal,Value,Current_role,Authority_class,Audit_risk,Recommended_disposition
TS015,TS015_INTERVAL_MS,100 ms,Controller update cadence,Diagnostic/cadence,Low,Retain configurable
TS015,TS015_LOG_INTERVAL_MS,500 ms,Runtime sample cadence,Diagnostic/cadence,Low,Retain configurable
TS015,TS015_HEARTBEAT_MS,15000 ms,Heartbeat cadence,Diagnostic/cadence,Low,Retain configurable
TS015,TS015_STABLE_WORKING_MS,3000 ms,Admission stability evidence,Evidence-calibrated policy,Medium,Move to named admission evidence policy
TS015,TS015_MIN_WORKING_SPEED_KMH,2.0 km/h,Working-motion eligibility,Evidence-calibrated policy,Medium,Derive/validate by job and motion state
TS015,TS015_MIN_PROGRESS_SPEED_KMH,2.0 km/h,Progress-motion eligibility,Evidence-calibrated policy,Medium,Derive/validate by job and motion state
TS015,TS015_HEAD_ON_MIN_DEG,150 deg,Head-on admission gate,Evidence-calibrated policy,High,Replace with Future Space relationship classification
TS015,TS015_ARM_TIMEOUT_MS,90000 ms,Admission watchdog,Safety watchdog,Low,Retain with named failure semantics
TS015,TS015_STOP_SPEED_KMH,0.75 km/h,Confirmed-stop threshold,Evidence-calibrated policy,Medium,Relate to assembly motion confidence
TS015,TS015_STOP_CONFIRM_MS,1000 ms,Stop persistence,Evidence-calibrated policy,Medium,Relate to observation confidence
TS015,TS015_HOLD_EFFECT_TIMEOUT_MS,10000 ms,Hold actuator watchdog,Safety watchdog,Low,Retain capability-owned
TS015,TS015_EGRESS_READY_TIMEOUT_MS,12000 ms,Egress preparation watchdog,Safety watchdog,Low,Retain capability-owned
TS015,TS015_FOLD_TIMEOUT_MS,22000 ms,Fold watchdog,Safety watchdog,Low,Prefer native animation capability evidence
TS015,TS015_DRIVE_TIMEOUT_MS,45000 ms,Reposition watchdog,Safety watchdog,Low,Retain capability-owned
TS015,TS015_EGRESS_SPEED_KMH,15.0 km/h,Egress command speed,Fixed actuator policy,High,Derive from Native Motion Envelope
TS015,TS015_INGRESS_SPEED_KMH,15.0 km/h,Rejoin command speed,Fixed actuator policy,High,Derive from Native Motion Envelope
TS015,TS015_PRECISION_SPEED_KMH,6.0 km/h,Precision approach speed,Fixed actuator policy,High,Derive from native precision-motion capability
TS015,TS015_REJOIN_ORIENTATION_SPEED_KMH,5.0 km/h,Orientation recovery speed,Fixed actuator policy,High,Replace with Native Repositioning Motion intent
TS015,TS015_EGRESS_PRECISION_RADIUS_M,6.0 m,Switch to precision egress,Actuator tuning,Medium,Capability/assembly-derived
TS015,TS015_REJOIN_PRECISION_RADIUS_M,8.0 m,Switch to precision rejoin,Actuator tuning,Medium,Capability/assembly-derived
TS015,TS015_REJOIN_FORWARD_M,6.0 m,Rejoin target forward offset,Fixture-calibrated geometry,High,Derive from assembly/corridor geometry
TS015,TS015_REJOIN_ORIENTATION_FORWARD_DOT,0.25,Forward-hemisphere gate,Actuator tuning,Medium,Capability-owned with evidence basis
TS015,TS015_REJOIN_ORIENTATION_TIMEOUT_MS,12000 ms,Orientation watchdog,Safety watchdog,Low,Retain capability-owned
