definition_xml,store_name,brand,categories,declared_vehicle_type,type_description,function_keys,function_labels,definition_kind,source_review_reasons,function_cohort_id,suggested_primary_family,suggested_primary_role,suggested_secondary_roles,suggested_capabilities,semantic_confidence,semantic_review_status,support_layers,decision_basis,semantic_conflict_detail,implementation_divergence,reviewer_decision_status,approved_primary_family,approved_primary_role,approved_secondary_roles,approved_capabilities,reviewer_notes,review_unit_id,reviewed_primary_family,reviewed_primary_role,reviewed_secondary_roles,reviewed_capabilities,consolidation_resolution,semantic_profile_state,semantic_catalogue_version
abi/waterTrailer1600/waterTrailer1600.xml,1600,ABI,barrels,waterTrailer,mobile water tank,$l10n_function_tank,Tanks transport liquids.,DIRECT_MODEL,,SC-F117,SUPPORT_AND_UTILITY,WATER_TANK,,LIQUID_TRANSPORT,TYPE_OR_CATEGORY_INFERRED,SUGGESTED,TYPE_DESC,TYPE_DESC=mobile water tank:WATER_TANK ; DECLARED_TYPE=waterTrailer:GENERAL_TRAILER,,DECLARED_TYPE:GENERAL_TRAILER,APPROVED,,,,,,SC-R138,SUPPORT_AND_UTILITY,WATER_TANK,,LIQUID_TRANSPORT,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
abi/waterTrailer550/waterTrailer550.xml,550,ABI,barrels,waterTrailer,mobile water tank,$l10n_function_tank,Tanks transport liquids.,DIRECT_MODEL,,SC-F117,SUPPORT_AND_UTILITY,WATER_TANK,,LIQUID_TRANSPORT,TYPE_OR_CATEGORY_INFERRED,SUGGESTED,TYPE_DESC,TYPE_DESC=mobile water tank:WATER_TANK ; DECLARED_TYPE=waterTrailer:GENERAL_TRAILER,,DECLARED_TYPE:GENERAL_TRAILER,APPROVED,,,,,,SC-R138,SUPPORT_AND_UTILITY,WATER_TANK,,LIQUID_TRANSPORT,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agco/series8000/series8000.xml,8010 Series,AGCO,tractorsM,combineDrivable,tractor,$l10n_function_tractor,Tractors are required to pull trailers and tools.,INHERITED_VARIANT,DECLARED_TYPE_DIFFERS_FROM_PARENT | INHERITED_DEFINITION | PARENT_ATTRIBUTE_OPERATIONS,SC-F128,POWER_AND_MOBILITY,TRACTOR,,,CONFLICTED,CONFLICTED,FUNCTION | TYPE_DESC | CATEGORY,FUNCTION=$l10n_function_tractor:TRACTOR ; TYPE_DESC=tractor:TRACTOR ; DECLARED_TYPE=combineDrivable:SELF_PROPELLED_HARVESTER ; CATEGORY=tractorsM:TRACTOR,DECLARED_TYPE_DIFFERS_FROM_PARENT:SELF_PROPELLED_HARVESTER->TRACTOR,DECLARED_TYPE:SELF_PROPELLED_HARVESTER,APPROVED,,,,,,SC-R151,POWER_AND_MOBILITY,TRACTOR,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agco/weight1100/weight1100.xml,1100,AGCO,weights,implement,Weight,$l10n_function_weight,A weight helps to keep a tractor's wheels on the ground and improves its balance.,DIRECT_MODEL,,SC-F141,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_weight:BALLAST_WEIGHT ; TYPE_DESC=Weight:BALLAST_WEIGHT,,,APPROVED,,,,,,SC-R164,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agco/weight1500/weight1500.xml,1500,AGCO,weights,implement,Weight,$l10n_function_weight,A weight helps to keep a tractor's wheels on the ground and improves its balance.,DIRECT_MODEL,,SC-F141,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_weight:BALLAST_WEIGHT ; TYPE_DESC=Weight:BALLAST_WEIGHT,,,APPROVED,,,,,,SC-R164,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agco/weight2300/weight2300.xml,2300,AGCO,weights,implement,Weight,$l10n_function_weight,A weight helps to keep a tractor's wheels on the ground and improves its balance.,DIRECT_MODEL,,SC-F141,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_weight:BALLAST_WEIGHT ; TYPE_DESC=Weight:BALLAST_WEIGHT,,,APPROVED,,,,,,SC-R164,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agco/weight650/weight650.xml,650,AGCO,weights,implement,Weight,$l10n_function_weight,A weight helps to keep a tractor's wheels on the ground and improves its balance.,DIRECT_MODEL,,SC-F141,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_weight:BALLAST_WEIGHT ; TYPE_DESC=Weight:BALLAST_WEIGHT,,,APPROVED,,,,,,SC-R164,SUPPORT_AND_UTILITY,BALLAST_WEIGHT,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agi/bcx3/bcx3.xml,BCX³ 1549 - MY2022,AGIBATCO,belts,conveyorBelt,conveyor belt,$l10n_function_augerUnloadSilo,This conveyor is mainly used to empty your silos.,DIRECT_MODEL,,SC-F005,MATERIAL_HANDLING,CONVEYOR,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_augerUnloadSilo:CONVEYOR ; TYPE_DESC=conveyor belt:CONVEYOR ; DECLARED_TYPE=conveyorBelt:CONVEYOR,,,APPROVED,,,,,,SC-R007,MATERIAL_HANDLING,CONVEYOR,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agi/mkx13/mkx13.xml,MKX 13-94 - MY2022,AGIWESTFIELD,belts,conveyorBeltUnpowered,conveyor belt,"$l10n_function_augerLoadSilo | $l10n_function_compatibleSilos | AGI WESTEEL Smoothwall Bin, AGI WESTEEL Hopper Bin, AGI Flat Bottom Bin","This conveyor is mainly used to fill up your silos. | Compatible Silos: | AGI WESTEEL Smoothwall Bin, AGI WESTEEL Hopper Bin, AGI Flat Bottom Bin",DIRECT_MODEL,,SC-F004,MATERIAL_HANDLING,CONVEYOR,,SILO_COMPATIBILITY_DECLARED,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_augerLoadSilo:CONVEYOR ; TYPE_DESC=conveyor belt:CONVEYOR ; DECLARED_TYPE=conveyorBeltUnpowered:CONVEYOR,,,APPROVED,,,,,,SC-R006,MATERIAL_HANDLING,CONVEYOR,,SILO_COMPATIBILITY_DECLARED,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agi/stormFX/stormFX.xml,FX Seed Treater,AGISTORM,belts,seedTreater,conveyor belt,$l10n_function_beltSystem | $l10n_function_seedTreating,Conveyor belts are an alternative way to load your trailers. | This conveyor is able to produce seeds directly from your grain storage.,DIRECT_MODEL,,SC-F017,MATERIAL_HANDLING,CONVEYOR,,SEED_TREATING,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC,FUNCTION=$l10n_function_beltSystem:CONVEYOR ; TYPE_DESC=conveyor belt:CONVEYOR,,,APPROVED,,,,,,SC-R019,MATERIAL_HANDLING,CONVEYOR,,SEED_TREATING,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agi/stx2/stx2.xml,STX² 10-51,AGIWESTFIELD,belts,pickupConveyorBelt,conveyor belt,"$l10n_function_augerLoadSilo | $l10n_function_compatibleSilos | AGI WESTEEL Smoothwall Bin, AGI WESTEEL Hopper Bin","This conveyor is mainly used to fill up your silos. | Compatible Silos: | AGI WESTEEL Smoothwall Bin, AGI WESTEEL Hopper Bin",DIRECT_MODEL,,SC-F003,MATERIAL_HANDLING,CONVEYOR,,SILO_COMPATIBILITY_DECLARED,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_augerLoadSilo:CONVEYOR ; TYPE_DESC=conveyor belt:CONVEYOR ; DECLARED_TYPE=pickupConveyorBelt:CONVEYOR,,,APPROVED,,,,,,SC-R005,MATERIAL_HANDLING,CONVEYOR,,SILO_COMPATIBILITY_DECLARED,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agi/utx44/utx44.xml,UTX 44,AGIWESTFIELD,belts,conveyorBelt,conveyor belt,$l10n_function_augerUnloadSilo,This conveyor is mainly used to empty your silos.,DIRECT_MODEL,,SC-F005,MATERIAL_HANDLING,CONVEYOR,,,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE,FUNCTION=$l10n_function_augerUnloadSilo:CONVEYOR ; TYPE_DESC=conveyor belt:CONVEYOR ; DECLARED_TYPE=conveyorBelt:CONVEYOR,,,APPROVED,,,,,,SC-R007,MATERIAL_HANDLING,CONVEYOR,,,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
agrifac/condorEndurance2/condorEndurance2.xml,Condor Endurance II,AGRIFAC,sprayers,selfPropelledSprayer,sprayer,$l10n_function_sprayer,Sprayers increase the harvest output of fields.,DIRECT_MODEL,,SC-F106,CROP_CARE,SPRAYER,,SELF_PROPELLED,CORROBORATED,SUGGESTED,FUNCTION | TYPE_DESC | DECLARED_TYPE | CATEGORY,FUNCTION=$l10n_function_sprayer:SPRAYER ; TYPE_DESC=sprayer:SPRAYER ; DECLARED_TYPE=selfPropelledSprayer:SPRAYER ; CATEGORY=sprayers:SPRAYER,,,APPROVED,,,,,,SC-R125,CROP_CARE,SPRAYER,,SELF_PROPELLED,APPROVAL_INHERITANCE,HUMAN_REVIEWED,1.0
